"drugbankid","smiles","id"
"DB00610","C[C@H](N)[C@H](O)C1=CC(O)=CC=C1",222
"DB00612","CC(C)NCC(O)COC1=CC=C(COCCOC(C)C)C=C1",266
"DB00614","[O-][N+](=O)C1=CC=C(O1)C=NN1CCOC1=O",316
"DB00619","CN1CCN(CC2=CC=C(C=C2)C(=O)NC2=CC(NC3=NC=CC(=N3)C3=CN=CC=C3)=C(C)C=C2)CC1",568
"DB00620","[H][C@@]12C[C@@H](O)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C",399
"DB00622","COC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OCCN(C)CC1=CC=CC=C1",179
"DB00623","OCCN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(C=C3)C(F)(F)F)CC1",410
"DB00624","[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C",329
"DB00629","NC(N)=NN=CC1=C(Cl)C=CC=C1Cl",255
"DB00633","C[C@H](C1=CNC=N1)C1=C(C)C(C)=CC=C1",252
"DB00635","[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C",406
"DB00640","NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1",92
"DB00645","CCCCOC1=CC=C(C=C1)C(=O)CCN1CCCCC1",697
"DB00651","CN1C2=C(N(CC(O)CO)C=N2)C(=O)N(C)C1=O",96
"DB00653","[Mg++].[O-]S([O-])(=O)=O",340
"DB00656","ClC1=CC=CC(=C1)N1CCN(CCCN2N=C3C=CC=CN3C2=O)CC1",52
"DB00657","CNC1(C)C2CCC(C2)C1(C)C",131
"DB00659","CC(=O)NCCCS(O)(=O)=O",485
